Title,Intro
题目：[1780694] Throwing objects from high-rise buildings,"Throwing objects from high-rise buildings
针对高空抛这一现象，写一篇不少于110字短文。"
题目：[1780525] 抄课本第6页，读课本12～14页/加油,作业要工整，书写3分。读书时要清楚
题目：[1780843] 考研英语作文,可以提交考研英语作文练笔 由AI智能打分
题目：[1780863] 请大家写一篇不少于60个单词的英语作文,记住，60个单词
题目：[1780893] 1、22.23.24.25.26.27.28页练习册,认真完成
题目：[1780838] 作业,作业
题目：[1780882] 写作,按图片要求进行写作
题目：[1780869] 听说2 第七讲课前学习个人表达,Directions: Please write a short composition on the topic or question given below. You should write at least 100 words. There is no limit to the times for your revision.Describe the advantages and disadvantages of living in cities.       You should say:what are the advantages of living in citieswhat are the disadvantages of living in citiesand give reasons for your answer and include any relevant examples from your experience.
题目：[1780894] 作文题目,雷声暴雨声闪电的白光交织在了一起，在黑暗而寂静的破旧图书管里回荡着
题目：[1780886] 19自4 Paper 4，draft 1,at least 250 words
题目：[1781577] 4月15日,认真
题目：[1780884] 咨询信,假定你是李华，你的英国朋友Peter来信询问你校学生体育运动情况。请给他回信，内容包括：1. 学校的体育场馆；2. 主要的运动项目；3. 你喜欢的项目。
题目：[1780878] 20200415,自命题
题目：[1780872] 【2020年6月六级预测】The love of one's country,"Directions: For this part, you are allowed 30 minutes to write an essay commenting on the saying “The love of one's country is a splendid thing.” You can give an example or two to illustrate your point of view. You should write at least 150 words but no more than 200 words."
题目：[1780890] 19自4 Paper 4，final draft,按时上交
题目：[1780528] Is economic progress the most important goal?,"Many governments think that economic progress is their most important goal.Some people, however,think that other types of progress are equally important for a country.
Discuss both these views and give your own opinions.
Write at least 150 words in English"
题目：[1780681] An Applicaiton Letter,"Suppose you are a university graduate who is applying for a famous American unversity, please write a personal statement for the university with no less than 200 words."
题目：[1780610] Who is superior in the novel coronavirus battle?,You are supposed to write at least 150 words on this topic ‘Who is superior in the novel coronavirus battle?’according to the following outline：1. 2020年新冠病毒疫情在全球爆发；2. 中美政府面对新冠疫情的不同态度和措施对比；3. 我的结论。
题目：[1780625] What do Westerners and Chinese have in common when celebrating the New Year’s Day?,"Give a 1-min oral report on this topic. Write what you want to say.
班号为单数的同学做此题。"
题目：[1780786] 图表类作文,最近，你校学生会对分类垃圾箱是否进教室一事进行了调查，调查结果见下表。请根据图表提供的信息用英语写一篇短文，介绍同学们的不同意见和看法，并表达你自己的观点。注意：词数不少于120。
题目：[1780521] 大英（四）3. Virtues Valued in Chinese Culture 中华美德,"Virtues Valued in Chinese Culture 中华美德Direction: For this part, you are required to write a composition on the topic Virtues Valued in Chinese Culture. You should write no less than 120 words and no more than 180 words, and you should base your composition on the outline (given in Chinese) below:（1）中华民族崇尚的美德有哪些？（请举出3-4个例子）（2）请解释这些美德的含义。（3）大学生要如何从自己身边的小事做起，发扬这些美德？"
题目：[1780598] 第十六课,读后感
题目：[1780927] 4月16日 读后续写 课后作业,请先复习课堂内容，再进行写作，希望大家给点耐心。
题目：[1780930] Bad Times Make A Good Man,"Directions: For this part, you are allowed 30 minutes to write an essay on the topic: Bad times make a good man. You can cite examples to illustrate your views. You should write at least 120 words but no more than 200 words."
题目：[1780936] Will online education replace traditional learning?,Many Chinese schools have started the new semester by adopting online platforms to take classes amid the novel coronavirus outbreak. Will online education replace traditional schools? Share your opinions in no less than 150 words.
题目：[1780949] 介绍一下你的朋友。,80-120词。
题目：[1780917] 。,请唐佳云同学写一篇获奖感言
题目：[1780912] 我的愿望,不少于5句
题目：[1780933] 19-20(2)雅思大作文7,"You should spend about 40 minutes on this task.Write about the following topic.It is pointless making children who lack artistic talent learn painting and drawing in Art classes at school. Instead, they should focus on other creative or practical subjects for which they may have more aptitude.You mostly agree with the statement above.Give reasons for your answer and include any relevant examples from your knowledge or experience. Write at least 250 words."
题目：[1780873] Online Shopping,1)网上购物成为一种新兴的购物方式，它给人们带来很多方便，同时也暴露出很多弊端； 2)我们应该如何把握这一新兴购物方式 3)“我”认为网上购物前景如何
题目：[1780910] Why Are We for/against Gun Control?,Please write a composition on the topic:                               Why Are We for/against Gun Control?
题目：[1780962] 写漫画,写完正，写好
题目：[1780970] 个 v 头发吹头发从东方通信,刚吃过饭饭吃
题目：[1780968] From “Tiger Shooting”,"Some people believe that with the rapid development of AI technology, human translation will be replaced by machine translation at last.Do you agree or disagree?"
题目：[1780966] Essay 6,Please write a passage to explain the Chinese Dream (中国梦) or the Belt and Road Initiative （一带一路倡议）to foreigners. You should write no less than 180 words.
题目：[1780978] Physical Exercise,请以“Physical Exercise”为题写一篇作文，包括以下三个内容：1、体育锻炼的重要性；2、不同形式的体育锻炼；3、选择合适的锻炼形式。
题目：[1781017] Wealthy people should be taxed more to support the poor,To what extent do you agree or disagree?
题目：[1781002] 小练笔,写一篇英语小练笔，介绍你的学习用品，至少8句。
题目：[1781065] 4.16汉翻英 18级材料工程,"Directions: Translate the following sentences into English, using the words or phrases in the brackets. 

1) 这座纪念碑是纪念为国牺牲的士兵而修建的。（in one’s honor / in honor of）
2) 虽然仍有些紧张，但这一次她鼓足勇气走上了讲台，开始演讲。（summon）
3) 难怪找不到人，都开会去了。（no wonder）
4) 在许多听众面前做演讲时，演讲人除了关注自己言谈举止，还要兼顾到听众的反应。
（bearing; in the presence of sb.）
5) 由于害羞和缺乏自信，他开始演讲时说话结结巴巴。（falter）"
"题目：[1781009] Some people think that good health is a basic human need, so medical service should not be run by profit-making companies. Do you think the disadvantages of private health care outweigh the advantages?",Write at least 250 words.
题目：[1781061] 非限制性定语从句在写作中的使用,"按照句子之间的逻辑关系，用非限制性定语从句优化作文）Leonardo da vinci was a talented Italian Renaissance painter. He was born in the small town of Vinci. He was born on April 15, 1452.  At the age of fifteen, he moved to Florence with his father.  It was in Florence that he started his career as a painter. He is famous for his realistic paintings.Mona Lisa and The Last Supper are his most famous art works. His Last Supper and Mona Lisa are among the most widely popular and influential paintings of the Renaissance. He is widely considered to be one of the greatest painters in the world. He is regarded as a universal genius.His studies in science and engineering were as impressive as his artistic works. He worked very hard. He finally became a world-famous artist. His story let us know that “Perseverance leads to success.”"
题目：[1781016] 周末仿写作业,字数要求不低于40即可，当然一篇完整有逻辑性的文章更好，根据批改网给出的提示，务必作文改到80--85分以上为好哈
题目：[1781063] About taboos,Is it necessary or important for us to pay great attention to some taboos when we get along with our friends of family members? Why? What about the foreigners?  Can you give some explanations using one or two examples?
题目：[1781082] My View on Online Learning,"Technology has been playing an increasingly important role in teaching and learning due to its conveniences and flexibility. Recently, owing to the COVID-19 pandemic, technology is ever more widely used and becomes a necessary means of instruction, by which teachers around the world conduct their teaching and give instructions on a variety of platforms or through different tools. Some people embrace this change and like the new form of teaching very much while others are not fully prepared for it and a lot of problems arise. Please write an essay (100-160 words) about your view of online teaching and learning. You can support your views or explain the reasons with your own experiences.长期以来，教育技术因其方便性和灵活性，在教学中正在发挥着越来越重要的作用。而最近因为新冠病毒疫情的突发，使技术的应用变得更为广泛和必不可少。教师使用各种网络平台或软件，将课堂搬到了网上。一些人非常喜欢这种新的教学方式，另一些人则没有完全准备好，导致许多问题的产生。请大家写一篇100-160词的文章，谈一谈自己对网络授课的看法。你可以用自己的亲身经历佐证你的观点或解释原因。"
题目：[1781090] 示例英语作业,无，参与圈子即可。
题目：[1781100] High School vs. College,Please write a composition entitled High School vs. College. You should write at least 120 words but no more than 500 words. Please follow the outline given below.1. 引出话题，提出观点2. 从两个方面比较高中和大学的不同（可分为两段）3. 总结
题目：[1781131] Application Letter,"Suppose you were a university student with undergaduate diploma, write an application letter to one of the universities in Hongkong."
题目：[1781117] 16日作业,Unit10单词会读
题目：[1781172] Selective Courses （选修课）,"For this part, you are allowed 30 minutes to write a short essay on the title ""Selective Courses"". You should write at least 120 words following the outline given below:

1. 许多大学为学生提供了选修课；
2. 是否应该根据自己的喜好选择选修课呢？
3. 在我看来......"
题目：[1781214] 毕业论文：二稿,各部分完整，布局具有逻辑性，论证充分，格式基本正确，语言表述无明显语法问题。。。
题目：[1781353] 作文,my birthday party
题目：[1781360] 英语弟20课课文朗读,可以拿着书读也可以背
题目：[1781372] 今天新学的单词,"会默写就可以
有时间的可以背一背"
题目：[1781363] 英,作业本
题目：[1781359] 英语,看视频
题目：[1781388] 现代文,"1.写完更正完后上传此群;
2.截止上交时间:周五中午13:00
3.周五下午19:00张艳平公示未完成名单。"
题目：[1781401] is啊的他。,晓得啦！
题目：[1781392] 人生百味,写出你对人生的理解，可以是失恋的痛，挨骂的痛，误会的痛，也可以是分别的痛
题目：[1781380] 第三单元第四、五天,第三单元第四、五天
题目：[1781001] 作业one,百词斩10个单词，作文一篇
题目：[1780675] 大英二Unit4作文,Topic：My college sweetheart2.Love at first sightyou can choose one of them as your topicIn your body part you should  write  more than two detail pointNo less than 150 words
题目：[1780977] Generatiion gap between parents and children,Write a short passage on the given outline in class with no less than 150 words.
题目：[1781424] my favorite festival,"独立完成，不照抄范文,注意书写和字数,字数不够的打回去重写，批改上传的错误必须改正，不能应付了事。"
题目：[1781427] xulei,写出：我最美
题目：[1781420] ，好,也，嘛嘛
题目：[1781439] 【四级作文】【2015年预测】大学降低标准,"Directions: For this part, you are allowed 30 minutes to write a composition on the topic ""Should Universities lower Admission Requirements for Celebrities? ""You should write at least 150 words, and base your composition on the outline (given in Chinese) below:　　1)近年来很多名牌大学都会降低标准招收名人学生，一些人强烈反对这样做　　2)但也有不少人认为这很正常　　3)你对此的看法是?为什么?"
题目：[1781376] 17贸11关于“平衡”,"1.     如何平衡学术和业余文化生活
(How to balance academic study and extra curriculum activities)
2.     如何平衡工作职责和个人爱好
(How to balance job responsibilities and personal interests )
3.     如何平衡工作和休闲
(How to balance work and leisure)"
题目：[1781461] 【四级翻译】【2015年预测】饺子,饺子是一种充馅食物，传统上在中国北方食用较多。早在三国时期就有关于饺子的记载。饺子的馅料一般是肉和蔬菜，馅料被包在一片擀得圆圆的薄面皮里，然后面皮边缘被压在一起。烹制饺子的方法有很多种，诸如煮、蒸和煎。过去，中国人通常在春节等传统节日时吃饺子；现在，饺子已成为中国人日常饮食中的一种普通食物。
题目：[1781547] 今天没有作业有会下午再开,必须要认真看
题目：[1781555] take 句型,把这个背会！
题目：[1781382] 英语大声读,大声读准确
题目：[1781549] 我饿了,你是我
题目：[1781524] 读一次第六单元,读一次课本上的第六单元
题目：[1781508] 翻译练习,4.16
题目：[1781525] 听写,拍照提交，请拍清晰
题目：[1781544] 4月16日,打英文测试（这就是让你写作文）
题目：[1781545] 4.16英语作文,"写出你们家的家规
Rules"
题目：[1781514] 额额额,额额额
题目：[1781521] 我的朋友,写作练习，我的朋友。写朋友的外貌，性格。
题目：[1781553] working report,write a proposal
题目：[1781504] 4月16日早上英语,背文档中前十个重点句子
题目：[1781470] 【四级】【2016年预测】My View on the Long Holidays,"For this part, you are allowed 30 minutes to write a composition on the topic: My View on the Long Holidays. You should write at least 120 words following the outline given in Chinese below:　1. 休长假带来的好处;　2. 长假所带来的不利方面;　3. 你的看法。"
题目：[1781467] 不知道,不知道
题目：[1781471] 英语作业,不少于50个单词
题目：[1781483] 三4班,不会写就我拍照给你看把答案写给我
题目：[1781459] 朗读,会读，认真完成
题目：[1781476] 游戏,玩一年王者玩一年吃鸡
题目：[1781488] 2020.4.16英语作业,写一篇关于自己房间的文章，60词以上
题目：[1781498] My View on E-commerce,For this part，you are allowed 30 minutes to write an essay with the title My View on E-commerce.You are required to write at least 120 words but no more than 180 words.我所了解的电子商务的现状；电子商务的利弊；我对电子商务发展前景的看法。
题目：[1780620] 字数不低于80字。分数不低于70分。,字数不低于80字，分数不低于70分
题目：[1781572] 写一篇我的校园,要求字迹工整语句通顺，流畅
题目：[1781568] 可爱的照片,"必须要可爱哟。
比如我这样。
记住要写这几个。拼音或者是英文字母。"
题目：[1781564] 写一篇有关你喜欢家的作文和为什么喜欢,写一篇作文
题目：[1781562] Get ，get ，way ，far 个抄10遍，读出来,工整！
题目：[1781586] 写两个单词,dgedfa
题目：[1781546] 必修四第二单元,必修四第二单元
题目：[1781613] 4.16早读,。
题目：[1781601] 写qwerty50遍,字迹工整
题目：[1781535] 加油,认真就好
题目：[1781608] 第七周作业,"周末作业：
1. WeLearn ：如果还未添加的同学，课程添加：大学英语能力突破的三个课程，分别学到期每个课程的第七部分。

2.WeLearn上预习：预习Unit 4 Text A

3.学习到上海外国语大学网课（链接如下）的前十堂课。https://m.bilibili.com/video/av87728801?p=1

4.完成WeLearn 上的CET-4听力训练6 以及Unit 4 单元测试，如下图：

5.在这个窗口提交这周作文。

题目要求：Write a short passage describing an event in chronological order. No less than 120 words. Please use tense, aspect and time expressions to indicate chronological order. 


*以上作业1-3为自主学习部分，同学们自行按自己情况安排时间学习，4、5为必做。"
题目：[1781619] Resume,Suppose you are a graduate student with master's degree in accounting and you want to seek a position as a teacher in Jiangxi University of Technology. Please write a resume.
题目：[1781673] The Day I will never forget,写一篇300字的作文
题目：[1781684] 作业,读昨日学的课文最迟6
题目：[1781669] 读书,读英语艿一扁
题目：[1781685] 拒绝,健健康
题目：[1781675] 呵呵,不读要罚
题目：[1781714] 踢人,吐出来
题目：[1781686] 单元测试,批改
题目：[1781635] 外面下雨,eydffgd
题目：[1781623] 写两个单词。,eydffgdgg
题目：[1781620] Stop Smoking. You Can Do It!,书面表达 请参照给出的阅读文章，同时根据题目所提出的具体要求，写出一篇连贯完整的短文。词数不少于60。目前，学校存在少数学生吸烟现象。21st Century拟对此现象向中学生征文，标题为“Stop smoking. You can do it!”。请用英语写一篇征文稿。内容应包括：1．吸烟的危害2-3条；2．提出你解决该问题的2-3条建议。 注意：1.短文必须包括所有内容要点； 2.短文标题与开头已为你写好，不计入总词数。
题目：[1781593] 画画,画画（按照图片画）
题目：[1781692] 3月16日 英语作业：,"1，认真背写： 书上13，14页的句子，书写要认真（李老师会评出优秀作业）。

2，  认真完成 一份试题。

提示：请大家下午5：00前交作业，迟了李老师可能就不能阅看了。"
题目：[1781716] 16级毕业论文四稿,反复修改语言错误，保证文字通顺
题目：[1781627] 2020-4-16作业,"mooc assignment 
main idea of the news article
paragraph translation"
题目：[1781625] narrative essay （自己命题的记叙文）,Write a narrative essay of about 120-180words(12-18 sentences）based on one of the follwing thesis:1. an experience or event from your past2. a recent or an ongoing experience or event 3. a turning point in your life
题目：[1781711] Online Reading to Paper Reading,"Directions: For this part, you are allowed 30 minutes to write an essay explaining why you prefer online (paper) reading to paper (online) reading. You should write at least 150 words but no more than 200 words."
题目：[1781638] 王,还是不
题目：[1781641] 英文作业,读第二页的书就可以了！
题目：[1781657] 4.16早自习,"短语错一改三
句子错一改一"
题目：[1781636] An Apology Letter(道歉信),"Directions: For this part, you are allowed 30 minutes to write a Letter of Apology. You should write at least 120 words following the outline given below in Chinese:1. 表达自己对晚交论文一事的歉意。 2. 说明未能按时交论文的原因。 3. 表示自己将尽快把论文补交上并表示以后将按时交作业。"
题目：[1781720] memo writing (2班）,作业要求请根据上传的memo writing 文档 Task 5 的具体要求
题目：[1781795] 【四级】【2016年预测】过分崇拜明星,Youngsters’ Worship1. 大学生现在过分崇拜大明星2. 分析产生这一现象的原因3. 我的看法
题目：[1781740] ？,给我解释一下
题目：[1781727] 20190311,unit7
题目：[1781792] !,"getup,              gotoschool,          
   gohome,           gotobed."
题目：[1781781] The Relationship between Human Beings and Wild Animals,"Over recent decades, the conflict between people and wild animals has become an emerging issue that is difficult to resolve. People and wild animals compete with each other for different things including food and resources. And some wildlife species have been wiped out for their physical danger to people’s lives. Meanwhile, a wide range of wildlife species, threatened by numerous human activities, are facing a high risk of extinction in the following decades. What is your view on this issue? How to deal with the relationship between human beings and wild animals, conflict or coexistence? Do you think people should continue this conflict or seek coexistence with wild animals? Write an essay on the topic and support your view with reasons and specific evidence."
题目：[1781747] writing an article after watching the film,we should think about what we have learned from the movie after watching it.   write an article at least 100 words.
题目：[1781786] 背诵11课课文,4月16号
题目：[1781743] 背诵古诗,认真落实
题目：[1781741] 英语写作练习,"Title: The Beauty of My Hometown
Hometown is the place where we grew up and also the one"
